brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Hyundai,Palisade,2024,Кроссовер,бензин,3.5,56655,Автомат,Полный привод,1,1,24,2022.0,2026.0,1.0,1.0,1.0,2.0,4.0,0,0,Астана,Акмолинская область,tier_1,1,0,2,0,1,0,2_3,0,unknown,0,10.944753174351685,28327.5,10.251623644017222,0,0,1,suv_like,3.2188758248682006,0,1,Hyundai__Palisade
Chevrolet,Cobalt,2023,Седан,бензин,1.5,211000,Автомат,Передний привод,1,1,18,2020.0,2026.0,1.0,2.0,1.0,3.0,6.0,0,0,Шымкент,Туркестанская область,tier_2,1,0,3,0,1,0,2_3,0,серый,1,12.259618151783465,70333.33333333333,11.161015341698498,0,1,1,sedan_like,2.9444389791664403,0,1,Chevrolet__Cobalt
Audi,A6,2014,Седан,бензин,2.0,156000,Вариатор,Передний привод,1,1,11,2011.0,2014.0,0.0,0.0,0.0,3.0,3.0,1,1,Алматы,Алматинская область,tier_1,1,0,12,0,0,0,8_12,0,unknown,0,11.957617696467539,13000.0,9.472781556562168,0,0,1,sedan_like,2.4849066497880004,0,0,Audi__A6
Mercedes-Benz,E 500,2005,Седан,бензин,5.0,310000,Автомат,Задний привод,1,1,21,2002.0,2006.0,0.0,0.0,0.0,3.0,4.0,1,1,Костанай,Костанайская область,regional_center,0,0,21,0,0,1,20_plus,0,черный,1,12.644330802262578,14761.904761904761,9.599872878379008,0,0,1,sedan_like,3.091042453358316,0,1,Mercedes-Benz__E 500
Kia,Sportage,2014,Кроссовер,бензин,2.0,247000,Автомат,Передний привод,1,1,5,2014.0,2016.0,0.0,3.0,1.0,0.0,2.0,0,0,Талдыкорган,Жетысуская область,regional_center,0,0,12,0,0,0,8_12,0,коричневый,1,12.417147664184915,20583.333333333332,9.93228554763795,0,0,1,suv_like,1.791759469228055,0,0,Kia__Sportage
Chevrolet,Cobalt,2021,Седан,бензин,1.5,160000,Автомат,Передний привод,1,1,8,2020.0,2026.0,1.0,2.0,1.0,1.0,6.0,0,0,Усть-Каменогорск,Восточно-Казахстанская область,regional_center,0,0,5,0,0,0,4_7,1,серебристый,1,11.982935344196433,32000.0,10.373522431293592,0,1,1,sedan_like,2.1972245773362196,0,0,Chevrolet__Cobalt
Chevrolet,Cruze,2011,Седан,бензин,1.6,274000,Механика,Передний привод,1,1,5,2009.0,2012.0,0.0,0.0,0.0,2.0,3.0,1,0,Атырау,Атырауская область,regional_center,0,0,15,0,0,1,13_20,0,unknown,0,12.520887034998584,18266.666666666668,9.812887927295117,0,0,0,sedan_like,1.791759469228055,0,0,Chevrolet__Cruze
Chevrolet,Damas,2020,Микровэн,бензин,0.8,43000,Механика,Задний привод,1,1,14,2020.0,2026.0,1.0,3.0,0.0,0.0,6.0,0,0,Алматы,Алматинская область,tier_1,1,0,6,0,0,0,4_7,0,белый,1,10.668978650219241,7166.666666666667,8.877335450597279,0,0,0,van_like,2.70805020110221,0,0,Chevrolet__Damas
Kia,Sportage,2021,Кроссовер,бензин,2.0,62000,Автомат,Полный привод,1,1,26,2018.0,2026.0,1.0,4.0,1.0,3.0,8.0,0,0,Алматы,Алматинская область,tier_1,1,0,5,0,0,0,4_7,1,белый,1,11.034905792929415,12400.0,9.425532393502772,0,0,1,suv_like,3.295836866004329,0,1,Kia__Sportage
BMW,528,2013,Седан,бензин,2.0,218000,Автомат,Полный привод,1,1,9,2009.0,2013.0,0.0,0.0,0.0,4.0,4.0,1,1,Уральск,Западно-Казахстанская область,regional_center,0,0,13,0,0,0,13_20,1,серый,1,12.292254928916668,16769.23076923077,9.727360615559235,0,0,1,sedan_like,2.302585092994046,0,0,BMW__528
Hyundai,Elantra,2024,Седан,бензин,1.5,26000,Вариатор,Передний привод,1,1,15,2023.0,2026.0,1.0,7.0,1.0,1.0,3.0,0,0,Алматы,Алматинская область,tier_1,1,0,2,0,1,0,2_3,1,серый,1,10.165890277802454,13000.0,9.472781556562168,0,0,1,sedan_like,2.772588722239781,0,1,Hyundai__Elantra
Audi,A3,2019,Хэтчбек,бензин,1.0,167500,Механика,Передний привод,1,1,17,2016.0,2020.0,0.0,3.0,1.0,3.0,4.0,0,1,Алматы,Алматинская область,tier_1,1,0,7,0,0,0,4_7,0,серый,1,12.02874460037869,23928.571428571428,10.0828702713635,0,0,0,compact_wagon,2.8903717578961645,0,1,Audi__A3
Chevrolet,Cobalt,2021,Седан,бензин,1.5,145113,Автомат,Передний привод,1,1,25,2011.0,2026.0,1.0,2.0,0.0,10.0,15.0,0,0,Астана,Акмолинская область,tier_1,1,0,5,0,0,0,4_7,0,черный,1,11.885274919400516,29022.6,10.27586457112199,0,0,1,sedan_like,3.258096538021482,0,1,Chevrolet__Cobalt
Audi,Q7,2007,Кроссовер,дизель,3.0,230000,Автомат,Полный привод,1,1,12,2005.0,2009.0,0.0,1.0,0.0,2.0,4.0,0,1,Алматы,Алматинская область,tier_1,1,0,19,0,0,1,13_20,0,unknown,0,12.345838935721968,12105.263157894737,9.401478214022633,0,0,1,suv_like,2.5649493574615367,0,0,Audi__Q7
Lexus,GS 350,2012,Седан,бензин,3.5,160000,Автомат,Полный привод,1,1,12,2011.0,2015.0,0.0,4.0,0.0,1.0,4.0,0,1,Актау,Мангистауская область,regional_center,0,0,14,0,0,0,13_20,1,серебристый,1,11.982935344196433,11428.57142857143,9.343959260772804,0,0,1,sedan_like,2.5649493574615367,0,0,Lexus__GS 350
Toyota,Camry,2016,Седан,бензин,2.5,269800,Автомат,Передний привод,1,1,12,2014.0,2018.0,0.0,0.0,1.0,2.0,4.0,1,0,Астана,Акмолинская область,tier_1,1,0,10,0,0,0,8_12,0,unknown,0,12.505439929198145,26980.0,10.202888193567093,0,0,1,sedan_like,2.5649493574615367,0,0,Toyota__Camry
Chevrolet,Niva,2014,Внедорожник,газ-бензин,1.7,125000,Механика,Полный привод,1,1,7,2009.0,2026.0,1.0,1.0,1.0,5.0,17.0,0,0,Атырау,Атырауская область,regional_center,0,0,12,0,0,0,8_12,0,белый,1,11.736077016252437,10416.666666666666,9.251258361888732,0,0,0,suv_like,2.0794415416798357,0,0,Chevrolet__Niva
