brand,model,year,body_type,fuel_type,engine_volume,mileage,transmission,drive_type,steering_wheel,kz_registration,imgs_count,price,g_start_year,g_end_year,g_is_current,g_number,g_is_restyling,g_age_car_release,g_span,generation_number_missing,target_log_price,is_premium,city_name,region,city_tier,is_big_city,is_electric,car_age,is_new_car,is_recent_car,is_old_car,age_bucket,is_metallic,base_color,color_known,log_mileage,mileage_per_year,log_mileage_per_year,has_low_mileage,has_high_mileage,is_automatic_like,body_segment,log_imgs_count,has_few_photos,has_many_photos,brand_model
Hyundai,Accent,2020,Седан,бензин,1.6,222000,Автомат,Передний привод,1,1,4,6230000,2017.0,2026.0,1.0,5.0,0.0,3.0,9.0,0,15.644887051277266,0,Алматы,Алматинская область,tier_1,1,0,6,0,0,0,4_7,0,unknown,0,12.310437165348775,37000.0,10.518700218288165,0,1,1,sedan_like,1.6094379124341003,0,0,Hyundai__Accent
Toyota,Camry,2023,Седан,бензин,2.5,69200,Автомат,Передний привод,1,1,22,18250000,2020.0,2026.0,1.0,0.0,1.0,3.0,6.0,1,16.719675692787295,0,Алматы,Алматинская область,tier_1,1,0,3,0,1,0,2_3,1,черный,1,11.1447705923684,23066.666666666668,10.04618720459911,0,0,1,sedan_like,3.1354942159291497,0,1,Toyota__Camry
Mercedes-Benz,S 500,2006,Седан,бензин,5.5,250000,Автомат,Задний привод,1,1,20,6300000,2005.0,2009.0,0.0,0.0,0.0,1.0,4.0,1,15.656060350091908,1,Шымкент,Туркестанская область,tier_2,1,0,20,0,0,1,13_20,1,черный,1,12.429220196836383,12500.0,9.433563920090563,0,0,1,sedan_like,3.044522437723423,0,1,Mercedes-Benz__S 500
Chevrolet,Aveo,2014,Седан,бензин,1.6,184000,Автомат,Передний привод,1,1,6,3500000,2011.0,2015.0,0.0,0.0,0.0,3.0,4.0,1,15.068273812173887,0,Актау,Мангистауская область,regional_center,0,0,12,0,0,0,8_12,0,серебристый,1,12.122696471358964,15333.333333333334,9.637849602067865,0,0,1,sedan_like,1.9459101490553132,0,0,Chevrolet__Aveo
Audi,A6,1995,Седан,бензин,2.8,450000,Автомат,Передний привод,1,1,10,2300000,1994.0,1997.0,0.0,0.0,0.0,1.0,3.0,1,14.648420115681892,1,Алматы,Алматинская область,tier_1,1,0,31,0,0,1,20_plus,1,синий,1,13.017005083966255,14516.129032258064,9.583084543777515,0,0,1,sedan_like,2.3978952727983707,0,0,Audi__A6
Hyundai,Starex,2010,Минивэн,газ-бензин,2.4,235000,Автомат,Задний привод,1,1,10,8999000,2007.0,2013.0,0.0,2.0,0.0,3.0,6.0,0,16.01262412913954,0,Актобе,Актюбинская область,regional_center,0,0,16,0,0,1,13_20,0,серый,1,12.367345048436391,14687.5,9.594820153675212,0,0,1,van_like,2.3978952727983707,0,0,Hyundai__Starex
BMW,530,2018,Седан,дизель,3.0,56000,Автомат,Полный привод,1,1,18,21500000,2016.0,2020.0,0.0,0.0,0.0,2.0,4.0,1,16.88356353960952,1,Тараз,Жамбылская область,regional_center,0,0,8,0,0,0,8_12,0,черный,1,10.933124826700707,7000.0,8.853808274977197,0,0,1,sedan_like,2.9444389791664403,0,1,BMW__530
Kia,K5,2015,Седан,бензин,2.0,177000,Автомат,Передний привод,1,1,19,8200000,2015.0,2021.0,0.0,2.0,0.0,0.0,6.0,0,15.919644834185693,0,Астана,Акмолинская область,tier_1,1,0,11,0,0,0,8_12,0,серебристый,1,12.083910661257521,16090.90909090909,9.686071883719213,0,0,1,sedan_like,2.995732273553991,0,1,Kia__K5
Audi,100,1990,Седан,бензин,2.3,412000,Механика,Передний привод,1,1,5,3200000,1988.0,1991.0,0.0,3.0,1.0,2.0,3.0,0,14.978661680269907,1,Чунджа,Алматинская область,other_city,0,0,36,0,0,1,20_plus,1,белый,1,12.928781055513184,11444.444444444445,9.34534706469904,0,0,0,sedan_like,1.791759469228055,0,0,Audi__100
Hyundai,Palisade,2022,Кроссовер,бензин,3.8,72000,Автомат,Полный привод,1,1,19,22500000,2018.0,2022.0,0.0,1.0,0.0,4.0,4.0,0,16.929025911619092,0,Алматы,Алматинская область,tier_1,1,0,4,0,0,0,4_7,1,белый,1,11.184435286790631,18000.0,9.798182590890704,0,0,1,suv_like,2.995732273553991,0,1,Hyundai__Palisade
BMW,525,1997,Седан,бензин,2.5,200000,Механика,Задний привод,1,1,4,2800000,1995.0,2000.0,0.0,0.0,0.0,2.0,5.0,1,14.845130332288226,1,Алматы,Алматинская область,tier_1,1,0,29,0,0,1,20_plus,1,зеленый,1,12.206077645517674,6896.551724137931,8.838921805032216,0,0,0,sedan_like,1.6094379124341003,0,0,BMW__525
Mercedes-Benz,E 300,2017,Седан,бензин,2.0,145000,Автомат,Задний привод,1,1,23,16500000,2016.0,2020.0,0.0,0.0,0.0,1.0,4.0,1,16.61887099947687,1,Шымкент,Туркестанская область,tier_2,1,0,9,0,0,0,8_12,0,unknown,0,11.884495917930655,16111.111111111111,9.68732651110581,0,0,1,sedan_like,3.1780538303479458,0,1,Mercedes-Benz__E 300
Audi,Q4 e-tron,2023,Внедорожник,Электрический,0.0,35000,Автомат,Задний привод,1,1,13,19000000,2021.0,2026.0,1.0,1.0,0.0,2.0,5.0,0,16.759949589762293,1,Шымкент,Туркестанская область,tier_2,1,1,3,0,1,0,2_3,0,unknown,0,10.463131911491967,11666.666666666666,9.364576762415895,0,0,1,suv_like,2.639057329615259,0,0,Audi__Q4 e-tron
Chevrolet,Nexia,2022,Седан,бензин,1.5,154000,Механика,Передний привод,1,1,8,4300000,2020.0,2026.0,1.0,1.0,0.0,2.0,6.0,0,15.274125813221904,0,Кызылорда,Кызылординская область,regional_center,0,0,4,0,0,0,4_7,0,unknown,0,11.944714374881176,38500.0,10.55843949396453,0,1,0,sedan_like,2.1972245773362196,0,0,Chevrolet__Nexia
Audi,A6,2005,Седан,бензин,3.2,382346,Вариатор,Передний привод,1,1,11,4900000,2004.0,2008.0,0.0,0.0,0.0,1.0,4.0,1,15.404745967162468,1,Караганда,Карагандинская область,regional_center,0,0,21,0,0,1,20_plus,0,черный,1,12.854083852227388,18206.95238095238,9.809613721641025,0,0,1,sedan_like,2.4849066497880004,0,0,Audi__A6
Lexus,RX 350,2022,Кроссовер,бензин,2.4,52701,Вариатор,Полный привод,1,1,19,34000000,2022.0,2026.0,1.0,5.0,0.0,0.0,4.0,0,17.341871111992198,1,Алматы,Алматинская область,tier_1,1,0,4,0,0,0,4_7,0,белый,1,10.872408684473482,13175.25,9.486171245569398,0,0,1,suv_like,2.995732273553991,0,1,Lexus__RX 350
BMW,730,1984,Седан,бензин,3.0,500000,Механика,Задний привод,1,1,8,3200000,1982.0,1987.0,0.0,0.0,1.0,2.0,5.0,1,14.978661680269907,1,Астана,Акмолинская область,tier_1,1,0,42,0,0,1,20_plus,0,unknown,0,13.122365377402328,11904.761904761905,9.384777755593158,0,0,0,sedan_like,2.1972245773362196,0,0,BMW__730
Mercedes-Benz,Sprinter,2009,Фургон,дизель,3.0,320000,Автомат,Задний привод,1,1,23,12500000,2006.0,2018.0,0.0,0.0,0.0,3.0,12.0,1,16.341239282272525,1,Кордай,Жамбылская область,other_city,0,0,17,0,0,1,13_20,0,жёлтый,1,12.676079399771027,18823.529411764706,9.84291605430861,0,0,1,van_like,3.1780538303479458,0,1,Mercedes-Benz__Sprinter
Mercedes-Benz,E 280,1995,Седан,бензин,2.8,156000,Автомат,Задний привод,1,1,21,8000000,1993.0,1997.0,0.0,0.0,1.0,2.0,4.0,1,15.894952224644102,1,Алматы,Алматинская область,tier_1,1,0,31,0,0,1,20_plus,1,синий,1,11.957617696467539,5032.258064516129,8.52382277995345,0,0,1,sedan_like,3.091042453358316,0,1,Mercedes-Benz__E 280
Lexus,RX 270,2011,Кроссовер,бензин,2.7,154020,Автомат,Передний привод,1,1,5,10000000,2008.0,2012.0,0.0,3.0,0.0,3.0,4.0,0,16.118095750958314,1,Алматы,Алматинская область,tier_1,1,0,15,0,0,1,13_20,1,серебристый,1,11.944844235735454,10268.0,9.236884927198295,0,0,1,suv_like,1.791759469228055,0,0,Lexus__RX 270
BMW,520,2023,Седан,бензин,2.0,54000,Автомат,Задний привод,1,1,5,30000000,2023.0,2026.0,1.0,0.0,0.0,0.0,3.0,1,17.216707972959764,1,Алматы,Алматинская область,tier_1,1,0,3,0,1,0,2_3,1,белый,1,10.896757843893464,18000.0,9.798182590890704,0,0,1,sedan_like,1.791759469228055,0,0,BMW__520
Chevrolet,Nexia,2020,Седан,бензин,1.5,160000,Автомат,Передний привод,1,1,10,4200000,2020.0,2026.0,1.0,1.0,0.0,0.0,6.0,0,15.250595321348806,0,Кызылорда,Кызылординская область,regional_center,0,0,6,0,0,0,4_7,0,красный,1,11.982935344196433,26666.666666666668,10.191207124284801,0,0,1,sedan_like,2.3978952727983707,0,0,Chevrolet__Nexia
Audi,A8,2011,Седан,бензин,3.0,220000,Автомат,Полный привод,1,1,2,9500000,2009.0,2014.0,0.0,3.0,0.0,2.0,5.0,0,16.066802461833923,1,Алматы,Алматинская область,tier_1,1,0,15,0,0,1,13_20,0,unknown,0,12.301387370778713,14666.666666666666,9.593400803726196,0,0,1,sedan_like,1.0986122886681096,1,0,Audi__A8
Chevrolet,Cobalt,2023,Седан,бензин,1.5,80000,Автомат,Передний привод,1,1,0,5000000,2011.0,2026.0,1.0,2.0,0.0,12.0,15.0,0,15.424948670398354,0,Астана,Акмолинская область,tier_1,1,0,3,0,1,0,2_3,0,unknown,0,11.289794413577894,26666.666666666668,10.191207124284801,0,0,1,sedan_like,0.0,1,0,Chevrolet__Cobalt
BMW,540,2017,Седан,бензин,3.0,155000,Автомат,Задний привод,1,1,9,21000000,2016.0,2020.0,0.0,0.0,0.0,1.0,4.0,1,16.860033043306743,1,Алматы,Алматинская область,tier_1,1,0,9,0,0,0,8_12,1,серый,1,11.951186847493476,17222.222222222223,9.754013881395615,0,0,1,sedan_like,2.302585092994046,0,0,BMW__540
Toyota,Camry,2018,Седан,бензин,2.5,153000,Автомат,Передний привод,1,1,10,11000000,2017.0,2021.0,0.0,0.0,0.0,1.0,4.0,1,16.213405921671733,0,Астана,Акмолинская область,tier_1,1,0,8,0,0,0,8_12,0,unknown,0,11.938199736300925,19125.0,9.858803944909488,0,0,1,sedan_like,2.3978952727983707,0,0,Toyota__Camry
Toyota,RAV4,2019,Кроссовер,бензин,2.0,88321,Вариатор,Полный привод,1,1,0,13555000,2019.0,2026.0,1.0,5.0,0.0,0.0,7.0,0,16.422266114688416,0,Алматы,Алматинская область,tier_1,1,0,7,0,0,0,4_7,0,белый,1,11.388744506182066,12617.285714285714,9.44290228806366,0,0,1,suv_like,0.0,1,0,Toyota__RAV4
Kia,K5,2022,Седан,бензин,2.0,41200,Автомат,Передний привод,1,1,39,11300000,2019.0,2026.0,1.0,3.0,0.0,3.0,7.0,0,16.24031337217814,0,Астана,Акмолинская область,tier_1,1,0,4,0,0,0,4_7,0,unknown,0,10.626217806887722,10300.0,9.239996256883693,0,0,1,sedan_like,3.6888794541139363,0,1,Kia__K5
Toyota,Camry,2005,Седан,бензин,2.4,235839,Автомат,Передний привод,1,1,90,6400000,2004.0,2006.0,0.0,0.0,1.0,1.0,2.0,1,15.671808704579888,0,Алматы,Алматинская область,tier_1,1,0,21,0,0,1,20_plus,1,серебристый,1,12.37090888798311,11230.42857142857,9.326471249920537,0,0,1,sedan_like,4.51085950651685,0,1,Toyota__Camry
Mercedes-Benz,E 280,1993,Седан,бензин,2.8,443000,Автомат,Задний привод,1,1,13,2300000,1993.0,1997.0,0.0,0.0,1.0,0.0,4.0,1,14.648420115681892,1,Астана,Акмолинская область,tier_1,1,0,33,0,0,1,20_plus,0,серый,1,13.001327306361068,13424.242424242424,9.504891976885716,0,0,1,sedan_like,2.639057329615259,0,0,Mercedes-Benz__E 280
Kia,Carnival,2025,Минивэн,дизель,2.2,2000,Автомат,Передний привод,1,1,15,31000000,2023.0,2026.0,1.0,4.0,1.0,2.0,3.0,0,17.249497794707484,0,Алматы,Алматинская область,tier_1,1,0,1,1,1,0,0_1,0,unknown,0,7.601402334583733,2000.0,7.601402334583733,1,0,1,van_like,2.772588722239781,0,1,Kia__Carnival
Mercedes-Benz,S 300,1993,Седан,бензин,3.2,300000,Автомат,Задний привод,1,1,5,2500000,1991.0,1993.0,0.0,0.0,0.0,2.0,2.0,1,14.731801689838349,1,Шымкент,Туркестанская область,tier_2,1,0,33,0,0,1,20_plus,0,unknown,0,12.611541086966115,9090.90909090909,9.115140186122302,0,0,1,sedan_like,1.791759469228055,0,0,Mercedes-Benz__S 300
